GEOID,ntl
48201332800,0.4308459450283192
48201332900,-0.12501678120849988
48201333000,-0.04297939285744583
48201333100,-0.8258378919950515
48201333201,-0.7384853774555826
48201333202,-0.3434786964150089
48201333300,0.3310829386212862
48201333500,-0.6445646156358554
48201333600,-0.4382874738399111
48201333700,-0.23993432665703482
48201333800,-0.6563238259484174
48201333901,0.18003343704167019
48201333902,0.2706873840983873
48201334001,-0.016262207604608243
48201334002,-0.3276431648607696
48201334003,-0.4168346393922592
48201334100,-0.006324563853886753
48201340100,-0.3470866184025947
48201340201,0.46755574774062103
48201340202,0.32239593864140237
48201340203,0.2588642122862036
48201340301,-0.16064075762745214
48201340302,0.3498087041713118
48201340400,0.16461554602327935
48201340500,0.17299250727275908
48201340600,0.24094150382384644
48201340700,0.09095254465392114
48201340800,-0.20551763616415802
48201340900,-0.11774527469372492
48201341000,-0.12827775775212855
48201341100,-0.1892482287342371
48201341201,-0.3602057589640673
48201341202,-0.2058759634135662
48201341301,0.34240285613728516
48201341302,-0.3918724968547757
48201341400,0.5421104869165648
48201341501,0.5515066102415368
48201341502,-0.344734532928243
48201341600,0.4840089018964065
48201341700,-0.08374122374402009
48201341800,0.6761138456931879
48201342001,-0.02825339990818053
48201342002,-0.05175039458135521
48201342100,-0.2903491929921632
48201342200,-0.01767313037997412
48201342300,0.3036710309006963
48201342400,0.5662797981018484
48201342500,1.918083296052838
48201342700,0.6512530058474554
48201342800,-0.08503533796170233
48201342900,0.1025433508708408
48201343000,0.3027267978967997
48201343100,0.3345762548693951
48201343200,0.7511551657833665
48201343301,0.06957031726927161
48201343302,0.42586707393393963
48201343600,0.870492258411869
48201343700,0.4613040994029506
48201350100,-0.02808777989862403
48201350200,-0.3327883039056015
48201350300,0.28869941113342007
48201350400,-0.3941228516467699
48201350500,-0.14718249636846809
48201350601,-0.7647148930079704
48201350602,-0.8397920768485257
48201350700,-0.7213404838568678
48201350801,-0.82551253268124
48201350802,-0.7225870797309605
48201410100,0.11092708449446112
48201410200,0.2622992395714568
48201410300,0.08581394769970549
48201410401,0.24671908752535648
48201410402,0.0024200773926689747
48201410500,0.4290683552955068
48201410600,-0.4476932946430016
48201410701,0.29915700353427
48201410702,0.3170659265342012
48201410800,0.06252853784553818
48201410900,0.008612638645727509
48201411000,-0.7230617635123674
48201411100,-0.20366050580157644
48201411200,-0.29683227097402315
48201411300,-0.05291157704714334
48201411400,-0.41039022913940976
48201411501,-0.17486918067036405
48201411502,-0.4387943120549072
48201411600,0.25237737813275035
48201411700,0.4227347507265837
48201411800,-0.420712919233556
48201411900,-0.0970780680229498
48201412000,-0.7459904090288916
48201412200,-0.34801509455445373
48201412300,-0.6666549356282939
48201412400,-0.289061030729243
48201412500,-0.2863705836507453
48201412600,-0.17892070515496167
48201412700,0.09626169091159856
48201412800,0.011285449511008162
48201412900,0.027088984843555795
48201413000,0.38460873520450833
48201413100,0.40009359515885745
48201413201,-0.0033096407008952108
48201413202,-0.14806277880346772
48201413300,0.46310048320701247
48201420100,-0.4100641517252987
48201420200,-0.0488837678590398
48201420300,-0.15326922810134613
48201420400,-0.22793190113547307
48201420500,-0.06147709244881091
48201420600,0.33353858882859183
48201420700,0.3347653712901444
48201420800,-0.3945862787303216
48201420900,-0.5613593639287722
48201421000,0.041857843236678696
48201421101,0.34559240985080975
48201421102,-0.48817476886381833
48201421201,-0.8566238195863424
48201421202,-0.9388537091608034
48201421300,-0.8887123532408687
48201421401,-0.9409924762904641
48201421402,-0.8123355378752952
48201421403,-0.8144990628680892
48201421500,-0.5313090773469682
48201421600,-0.5795816866839771
48201421700,-0.5885526549217625
48201421800,-0.6105466573199942
48201421900,0.06842070490503216
48201422000,0.3519477321423767
48201422100,-0.3005440465856398
48201422200,-0.7340353878110425
48201422301,0.8234874996533745
48201422302,0.1719315966833285
48201422401,1.0042818605554606
48201422402,1.0620573196876224
48201422500,0.5786385438156658
48201422600,0.018273147544962603
48201422701,-0.5838038580245191
48201422702,-0.6062740227035691
48201422800,0.07925445885378817
48201422900,-0.08337012872258874
48201423000,0.6234158640133777
48201423100,0.36445959966007746
48201423201,0.540114647634539
48201423202,0.9363234964650191
48201423301,0.5519343322473254
48201423302,0.4174781679627935
48201423401,0.45386200931248455
48201423402,0.4289926240462128
48201423500,0.6758950982504798
48201423600,-0.5222776589405337
48201430100,-0.8251247456410442
48201430200,-0.7939100030764079
48201430300,-0.6573218928759637
48201430400,-0.13461163432871634
48201430500,0.28059958614030184
48201430600,-0.242376583235852
48201430700,0.08858789232033475
48201430800,-0.7682406033098117
48201430900,-0.41259386840240153
48201431000,0.15572543715344817
